sourceName,double,speed,length
Healthy,0.241,2.930386543,31.88976378
Healthy,0.239,3.511989979,35.03937008
Healthy,0.283,3.534359341,35.82677165
Healthy,0.311,4.071224052,34.64566929
Healthy,0.291,4.183070866,28.34645669
Healthy,0.247,4.093593414,25.19685039
Healthy,0.292,3.221188261,29.52755906
Healthy,0.306,2.68432355,33.85826772
Healthy,0.293,3.176449535,28.74015748
Healthy,0.311,4.026485326,26.37795276
Healthy,0.332,2.997494631,26.77165354
Healthy,0.294,2.572476736,27.16535433
Healthy,0.297,2.885647817,21.25984252
Healthy,0.301,2.729062276,28.34645669
Healthy,0.288,1.61059413,25.98425197
Healthy,0.294,2.885647817,26.77165354
Healthy,0.299,2.930386543,28.34645669
Healthy,0.289,2.68432355,25.98425197
Healthy,0.291,2.930386543,26.77165354
Healthy,0.271,2.796170365,28.34645669
Healthy,0.234,2.751431639,27.16535433
Healthy,0.231,2.997494631,31.88976378
Healthy,0.239,2.952755906,34.64566929
Healthy,0.262,3.534359341,35.82677165
Healthy,0.298,4.183070866,35.43307087
Healthy,0.28,4.406764495,32.28346457
Healthy,0.324,4.317287044,27.16535433
Healthy,0.292,3.668575519,30.70866142
Healthy,0.297,2.617215462,22.83464567
Healthy,0.273,3.265926986,27.55905512
Healthy,0.26,2.52773801,25.59055118
Healthy,0.254,3.154080172,31.1023622
Healthy,0.271,2.975125268,32.67716535
Healthy,0.251,3.44488189,33.46456693
Healthy,0.254,3.758052971,31.49606299
Healthy,0.244,3.869899785,34.2519685
Healthy,0.311,3.511989979,34.2519685
Healthy,0.33,3.959377237,35.03937008
Healthy,0.311,3.892269148,24.01574803
Healthy,0.313,4.093593414,17.71653543
Healthy,0.315,2.415891195,24.80314961
Healthy,0.262,1.946134574,24.40944882
Healthy,0.289,2.393521832,23.22834646
Healthy,0.311,2.304044381,30.70866142
Healthy,0.272,2.415891195,28.74015748
Healthy,0.262,3.668575519,24.40944882
Healthy,0.273,3.06460272,31.49606299
Healthy,0.31,2.482999284,31.49606299
Healthy,0.284,3.534359341,30.70866142
Healthy,0.289,3.735683608,25.19685039
Healthy,0.282,3.422512527,27.95275591
Healthy,0.286,2.415891195,29.13385827
Healthy,0.29,3.086972083,29.92125984
Healthy,0.291,3.086972083,29.52755906
Healthy,0.302,3.265926986,28.34645669
Healthy,0.29,3.176449535,27.55905512
Healthy,0.283,3.086972083,25.98425197
Healthy,0.282,3.019863994,28.34645669
Healthy,0.289,2.773801002,29.52755906
Healthy,0.302,3.086972083,29.52755906
Healthy,0.257,3.198818898,29.13385827
Healthy,0.269,3.176449535,26.37795276
